Date,Open,High,Low,Close,Volume
,4703.96,4740.74,4703.96,4725.79,2194630000
"Dec. 22, 2021",4650.36,4697.67,4645.53,4696.56,2439570000
"Dec. 21, 2021",4594.96,4651.14,4583.16,4649.23,2564370000
"Dec. 20, 2021",4587.90,4587.90,4531.10,4568.02,3395780000
"Dec. 17, 2021",4652.50,4666.70,4600.22,4620.64,5609780000
"Dec. 16, 2021",4719.13,4731.99,4651.89,4668.67,3592810000
"Dec. 15, 2021",4636.46,4712.60,4611.22,4709.85,3367580000
"Dec. 14, 2021",4642.99,4660.47,4606.52,4634.09,3292740000
"Dec. 13, 2021",4710.30,4710.30,4667.60,4668.97,3322050000
"Dec. 10, 2021",4687.64,4713.57,4670.24,4712.02,2858310000
"Dec. 09, 2021",4691.00,4695.26,4665.98,4667.45,2851660000
"Dec. 08, 2021",4690.86,4705.06,4674.52,4701.21,3061550000
"Dec. 07, 2021",4631.97,4694.04,4631.97,4686.75,3334320000
"Dec. 06, 2021",4548.37,4612.60,4540.51,4591.67,3305690000
"Dec. 03, 2021",4589.49,4608.03,4495.12,4538.43,3971500000
"Dec. 02, 2021",4504.73,4595.46,4504.73,4577.10,3771510000
"Dec. 01, 2021",4602.82,4652.94,4510.27,4513.04,4078260000
"Nov. 30, 2021",4640.25,4646.02,4560.00,4567.00,4950190000
"Nov. 29, 2021",4628.75,4672.95,4625.26,4655.27,3471380000
"Nov. 26, 2021",4664.63,4664.63,4585.43,4594.62,2676740000
"Nov. 24, 2021",4675.78,4702.87,4659.89,4701.46,2464040000
"Nov. 23, 2021",4678.48,4699.39,4652.66,4690.70,3428780000
"Nov. 22, 2021",4712.00,4743.83,4682.17,4682.94,3206280000
"Nov. 19, 2021",4708.44,4717.75,4694.22,4697.96,3265600000
"Nov. 18, 2021",4700.72,4708.80,4672.78,4704.54,3335620000
"Nov. 17, 2021",4701.50,4701.50,4684.41,4688.67,3221250000
"Nov. 16, 2021",4679.42,4714.95,4679.42,4700.90,2838210000
"Nov. 15, 2021",4689.30,4697.42,4672.86,4682.80,2618980000
"Nov. 12, 2021",4655.24,4688.47,4650.77,4682.85,2865790000
"Nov. 11, 2021",4659.39,4664.55,4648.31,4649.27,2623140000
"Nov. 10, 2021",4670.26,4684.85,4630.86,4646.71,3581630000
"Nov. 09, 2021",4707.25,4708.53,4670.87,4685.25,3110230000
"Nov. 08, 2021",4701.48,4714.92,4694.39,4701.70,3465720000
"Nov. 05, 2021",4699.26,4718.50,4681.32,4697.53,3491150000
"Nov. 04, 2021",4662.93,4683.00,4662.59,4680.06,3332940000
"Nov. 03, 2021",4630.65,4663.46,4621.19,4660.57,3339440000
"Nov. 02, 2021",4613.34,4635.15,4613.34,4630.65,3309690000
"Nov. 01, 2021",4610.62,4620.34,4595.06,4613.67,2924000000
"Oct. 29, 2021",4572.87,4608.08,4567.59,4605.38,3632260000
"Oct. 28, 2021",4562.84,4597.55,4562.84,4596.42,3197560000
"Oct. 27, 2021",4580.22,4584.57,4551.66,4551.68,3259510000
"Oct. 26, 2021",4578.69,4598.53,4569.17,4574.79,2866500000
"Oct. 25, 2021",4553.69,4572.62,4537.36,4566.48,3250210000
"Oct. 22, 2021",4546.12,4559.67,4524.00,4544.90,3062810000
"Oct. 21, 2021",4532.24,4551.44,4526.89,4549.78,3016950000
"Oct. 20, 2021",4524.42,4540.87,4524.40,4536.19,2671560000
"Oct. 19, 2021",4497.34,4520.40,4496.41,4519.63,2531210000
"Oct. 18, 2021",4463.72,4488.75,4447.47,4486.46,2683540000
"Oct. 15, 2021",4447.69,4475.82,4447.69,4471.37,3000560000
"Oct. 14, 2021",4386.75,4439.73,4386.75,4438.26,2642920000
"Oct. 13, 2021",4358.01,4372.87,4329.92,4363.80,2926460000
"Oct. 12, 2021",4368.31,4374.89,4342.09,4350.65,2608150000
"Oct. 11, 2021",4385.44,4415.88,4360.59,4361.19,2580000000
"Oct. 08, 2021",4406.51,4412.02,4386.22,4391.34,2401890000
"Oct. 07, 2021",4383.73,4429.97,4383.73,4399.76,3096080000
"Oct. 06, 2021",4319.57,4365.57,4290.49,4363.55,3219590000
"Oct. 05, 2021",4309.87,4369.23,4309.87,4345.72,2967400000
"Oct. 04, 2021",4348.84,4355.51,4278.94,4300.46,3110560000
"Oct. 01, 2021",4317.16,4375.19,4288.52,4357.04,3148980000
"Sep. 30, 2021",4370.67,4382.55,4306.24,4307.54,3123770000
"Sep. 29, 2021",4362.41,4385.57,4355.08,4359.46,2753800000
"Sep. 28, 2021",4419.54,4419.54,4346.33,4352.63,3495970000
"Sep. 27, 2021",4442.12,4457.30,4436.19,4443.11,3032870000
"Sep. 24, 2021",4438.04,4463.12,4430.27,4455.48,2772090000
"Sep. 23, 2021",4406.75,4465.40,4406.75,4448.98,2833290000
"Sep. 22, 2021",4367.43,4416.75,4367.43,4395.64,3273670000
"Sep. 21, 2021",4374.45,4394.87,4347.96,4354.19,3044300000
"Sep. 20, 2021",4402.95,4402.95,4305.91,4357.73,3773680000
"Sep. 17, 2021",4469.74,4471.52,4427.76,4432.99,5622210000
"Sep. 16, 2021",4477.09,4485.87,4443.80,4473.75,3321030000
