country_name,access_to_electricity_pct,atms_per_100000,compulsory_education_years,health_expenditure_pct_of_gdp,gdp_per_capita_usd,gdp_per_capita_ppp,life_expectancy_female,life_expectancy_male,life_expectancy,population_density,population,alcohol_consumption_per_capita,unemployment_rate_female,unemployment_rate_male,unemployment_rate,year,Country Name,Country Code,country_category,is_region,planet
Afghanistan,97.7,1.21323506390226,9.0,11.77723598,519.884773089339,2058.3838315795997,65.656,62.701,64.13,55.5959930153479,36296400.0,,14.0900001525879,10.4160003662109,11.184000015258801,2017,Afghanistan,AFG,DEVELOPING,0,Earth
Albania,100.0,31.714075742722894,9.0,5.01059723,4531.0208055598605,13037.0100155002,80.148,76.601,78.333,104.870693430657,2873457.0,,12.562999725341802,14.5900001525879,13.75,2017,Albania,ALB,DEVELOPING,0,Earth
Algeria,100.0,9.13067681116109,10.0,6.38032866,4111.29411013269,11737.4093527549,77.735,75.307,76.499,17.3777146120063,41389198.0,,21.114000320434602,10.0209999084473,11.996000289917,2017,Algeria,DZA,DEVELOPING,0,Earth
Angola,41.9628944396973,19.07925,6.0,2.79150295,4095.8129415585695,7310.901738035359,63.252,57.677,60.379,23.9165380604797,29816748.0,,7.46700000762939,6.769000053405759,7.11899995803833,2017,Angola,AGO,DEVELOPING,0,Earth
Arab World,90.28363755871959,27.3606196906126,9.0,5.56126614417562,6108.58822028271,14562.3679656968,73.4933662678094,69.9212501372685,71.6225263455783,36.6698042509624,411898967.0,,20.3613957535028,8.097088217644941,10.6413131629946,2017,Arab World,ARB,,1,Earth
Argentina,100.0,53.115203831673895,14.0,10.45704365,14613.041824669599,23597.117752857797,79.726,72.92399999999998,76.372,16.0941907925267,44044811.0,,9.46399974822998,7.52699995040894,8.34700012207031,2017,Argentina,ARG,,0,Earth
Armenia,100.0,63.736250600862505,12.0,10.36270523,3914.5012684128,12115.057008938898,78.165,71.115,74.797,103.43551106427799,2944809.0,,17.4710006713867,17.9060001373291,17.7049999237061,2017,Armenia,ARM,DEVELOPING,0,Earth
Australia,100.0,160.32438731656,10.0,9.20544815,54027.9668184568,48870.588286582686,84.6,80.5,82.5,3.19836141871706,24601860.0,,5.6680002212524405,5.525000095367429,5.59100008010864,2017,Australia,AUS,DEVELOPED,0,Earth
Austria,100.0,165.03677445544,13.0,10.38262367,47426.511959777315,54496.1636938075,84.0,79.4,81.64390243902442,106.607445296677,8797566.0,,5.0310001373291,5.90799999237061,5.499000072479251,2017,Austria,AUT,DEVELOPED,0,Earth
Azerbaijan,100.0,32.1592367717524,10.0,3.73651457,4147.08971569171,14121.4069355591,75.215,70.128,72.693,119.197205757832,9854033.0,,5.92700004577637,4.11899995803833,5.0,2017,Azerbaijan,AZE,DEVELOPING,0,Earth
